defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
KC,Standard (6),run,214,0.024231879,0.44392523,4.8925233,0.023364486,0.22897196,0.0,0.0,0.0,
KC,Heavy (7),pass,120,-0.056844104,0.43333334,5.883333,0.033333335,0.275,0.11666666666666667,3.0,5.0,5.2894735
KC,Heavy (7),run,172,-0.17656796,0.36627907,3.4011629,0.017441861,0.21511628,0.0,0.0,0.0,
KC,Stacked (8+),pass,7,,,,,,0.2857142857142857,1.0,0.0,
KC,Stacked (8+),run,29,0.19698241,0.55172414,2.689655,0.1724138,0.51724136,0.0,0.0,0.0,
LA,Light (≤5),pass,149,-0.28710765,0.3691275,4.409396,0.040268455,0.26174498,0.18120805369127516,2.0,11.0,3.2405064
LA,Light (≤5),run,59,-0.18948406,0.40677965,4.4745765,0.0,0.16949153,0.0,0.0,0.0,
LA,Standard (6),pass,333,-0.07515204,0.4204204,5.603604,0.039039038,0.2912913,0.2072072072072072,11.0,27.0,4.207254
LA,Standard (6),run,228,-0.02719821,0.3859649,4.5394735,0.00877193,0.24122807,0.0,0.0,0.0,
LA,Heavy (7),pass,140,0.015852287,0.5,7.1928573,0.028571429,0.32857144,0.15,3.0,8.0,5.7526884
LA,Heavy (7),run,120,-0.026659332,0.4,4.0583334,0.025,0.28333333,0.0,0.0,0.0,
LA,Stacked (8+),pass,13,1.0567693,0.84615386,10.0,0.30769232,0.6923077,0.07692307692307693,0.0,1.0,7.3636365
LA,Stacked (8+),run,25,0.120128304,0.48,4.24,0.12,0.4,0.0,0.0,0.0,
LA,,pass,1,,,,,,0.0,0.0,0.0,
LAC,Light (≤5),pass,184,-0.10023282,0.41847825,5.4565215,0.016304348,0.23913044,0.18478260869565216,7.0,17.0,4.8383837
LAC,Light (≤5),run,20,-0.4448521,0.25,4.35,0.0,0.1,0.0,0.0,0.0,
LAC,Standard (6),pass,271,-0.14131403,0.42435426,5.7527676,0.022140222,0.28782287,0.14022140221402213,12.0,20.0,6.3397436
LAC,Standard (6),run,248,0.019611306,0.44758064,4.770161,0.048387095,0.30241936,0.0,0.0,0.0,
LAC,Heavy (7),pass,60,0.058001827,0.4,5.133333,0.06666667,0.31666666,0.2,0.0,6.0,6.848485
LAC,Heavy (7),run,107,-0.24353498,0.317757,3.3084111,0.018691588,0.18691589,0.0,0.0,0.0,
LAC,Stacked (8+),pass,7,,,,,,0.0,0.0,0.0,
LAC,Stacked (8+),run,26,0.04181886,0.5769231,5.4615383,0.07692308,0.3846154,0.0,0.0,0.0,
LAC,,pass,27,-0.056501195,0.25925925,5.4444447,0.037037037,0.18518518,0.18518518518518517,0.0,2.0,6.0
LAC,,run,5,,,,,,0.0,0.0,0.0,
LV,Light (≤5),pass,110,0.0023349884,0.44545454,5.6454544,0.036363635,0.27272728,0.11818181818181818,2.0,5.0,5.1549296
LV,Light (≤5),run,15,0.8072805,0.6666667,7.2,0.13333334,0.6,0.0,0.0,0.0,
LV,Standard (6),pass,319,0.17754397,0.48589343,6.1755486,0.031347964,0.31034482,0.14106583072100312,3.0,17.0,4.262911
LV,Standard (6),run,209,0.04496761,0.45454547,4.5023923,0.033492822,0.29186603,0.0,0.0,0.0,
LV,Heavy (7),pass,116,-0.06123102,0.46551725,6.362069,0.05172414,0.37068966,0.1896551724137931,2.0,13.0,5.358209
LV,Heavy (7),run,236,-0.13346763,0.37711865,3.618644,0.042372882,0.22033899,0.0,0.0,0.0,
LV,Stacked (8+),pass,17,-0.38641953,0.4117647,5.1764708,0.1764706,0.4117647,0.23529411764705882,1.0,2.0,8.625
LV,Stacked (8+),run,32,-0.23945576,0.46875,3.25,0.09375,0.28125,0.0,0.0,0.0,
MIA,Light (≤5),pass,171,0.14071782,0.5146199,6.7192984,0.05263158,0.3508772,0.14619883040935672,3.0,13.0,5.339286
MIA,Light (≤5),run,13,0.4643525,0.61538464,5.6923075,0.07692308,0.46153846,0.0,0.0,0.0,
MIA,Standard (6),pass,271,0.09081782,0.4907749,6.202952,0.044280443,0.3099631,0.13284132841328414,4.0,21.0,5.2541437
MIA,Standard (6),run,203,0.075443365,0.50246304,4.950739,0.014778325,0.27586207,0.0,0.0,0.0,
MIA,Heavy (7),pass,84,-0.014449188,0.48809522,6.297619,0.035714287,0.33333334,0.15476190476190477,2.0,5.0,5.796296
MIA,Heavy (7),run,181,0.002067937,0.43093923,5.044199,0.038674034,0.24861878,0.0,0.0,0.0,
MIA,Stacked (8+),pass,29,0.766478,0.7241379,10.413794,0.1724138,0.62068963,0.10344827586206896,0.0,0.0,6.5
MIA,Stacked (8+),run,64,-0.028071284,0.34375,4.328125,0.109375,0.28125,0.0,0.0,0.0,
MIN,Light (≤5),pass,79,0.15584746,0.4177215,8.13924,0.06329114,0.3164557,0.08860759493670886,0.0,3.0,5.2941175
MIN,Light (≤5),run,28,0.06328698,0.35714287,5.464286,0.035714287,0.32142857,0.0,0.0,0.0,
