defteam,coverage_look,down,pressure_flag,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
DET,Base (4),2.0,0,11,-1.3148665,0.27272728,2.909091,0.18181819,0.18181819,0.0,1.0,0.0,0.85714287
DET,Base (4),2.0,1,3,,,,,,1.0,0.0,2.0,
DET,Base (4),3.0,0,11,0.14871345,0.36363637,3.909091,0.27272728,0.36363637,0.0,0.0,0.0,2.2
DET,Base (4),3.0,1,4,,,,,,1.0,0.0,3.0,
DET,Base (4),4.0,0,6,,,,,,0.0,0.0,0.0,
DET,Base (4),,0,4,,,,,,0.0,0.0,0.0,
DET,Blitz (5),1.0,0,7,,,,,,0.0,0.0,0.0,
DET,Blitz (5),2.0,0,6,,,,,,0.0,0.0,0.0,
DET,Blitz (5),2.0,1,1,,,,,,1.0,0.0,1.0,
DET,Blitz (5),3.0,0,3,,,,,,0.0,0.0,0.0,
DET,Blitz (5),3.0,1,1,,,,,,1.0,0.0,1.0,
DET,Blitz (5),4.0,1,1,,,,,,1.0,0.0,0.0,
DET,Heavy Blitz (6+),1.0,0,3,,,,,,0.0,0.0,0.0,
DET,Heavy Blitz (6+),2.0,0,7,,,,,,0.0,0.0,0.0,
DET,Heavy Blitz (6+),3.0,1,1,,,,,,1.0,0.0,0.0,
DET,Heavy Blitz (6+),4.0,0,1,,,,,,0.0,0.0,0.0,
DET,Heavy Blitz (6+),4.0,1,1,,,,,,1.0,0.0,1.0,
DET,Heavy Blitz (6+),,0,1,,,,,,0.0,0.0,0.0,
DET,,1.0,0,32,0.034285054,0.46875,3.03125,0.125,0.15625,0.0,0.0,0.0,
DET,,2.0,0,20,0.033396937,0.55,1.95,0.2,0.4,0.0,0.0,0.0,
DET,,3.0,0,13,-0.23117103,0.46153846,1.6923077,0.15384616,0.46153846,0.0,0.0,0.0,
DET,,4.0,0,3,,,,,,0.0,0.0,0.0,
DET,,,0,2,,,,,,0.0,0.0,0.0,
GB,Light (≤3),1.0,0,1,,,,,,0.0,0.0,0.0,
GB,Light (≤3),2.0,0,1,,,,,,0.0,0.0,0.0,
GB,Light (≤3),3.0,0,1,,,,,,0.0,0.0,0.0,
